Symbol,Sector,ListedIn,LDCP,Open,High,Low,Current,Change,ChangePct,Volume
CNERGY,0825,"ALLSHR,JSMFI,KMIALLSHR,KSE100,KSE100PR",13.92,13.78,13.78,12.96,12.97,-0.95,-6.82%,78845159
FCSC,0813,ALLSHR,4.88,5.06,5.88,4.05,5.35,0.47,9.63%,40561321
PRL,0825,"ALLSHR,JSMFI,KMI30,KMIALLSHR",98.71,95.5,95.5,88.84,88.84,-9.87,-10.00%,39895368
TISL,0818,"ALLSHR,KMIALLSHR",4.36,4.45,4.71,4.2,4.3,-0.06,-1.38%,31664093
TSBL,0813,ALLSHR,2.46,2.4,2.6,2.39,2.56,0.1,4.06%,31060566
PACE,0838,ALLSHR,10.67,10.81,11.42,10.78,10.95,0.28,2.62%,19614432
IREIT,0836,"ALLSHR,KMIALLSHR",8.0,8.09,9.0,7.93,8.4,0.4,5.00%,18006993
THCCL,0804,"ALLSHR,JSMFI,KMIALLSHR",79.68,83.0,83.97,78.51,79.0,-0.68,-0.85%,15790091
BOP,0807,"ALLSHR,BKTI,JSGBKTI,KSE100,KSE100PR,KSE30,PSXDIV20",34.88,35.25,35.44,34.78,34.9,0.02,0.06%,15713827
FNEL,0813,ALLSHR,1.18,1.18,1.22,1.17,1.19,0.01,0.85%,15409039
WTL,0828,ALLSHR,1.13,1.14,1.14,1.11,1.12,-0.01,-0.88%,14858547
TPL,0828,ALLSHR,23.85,24.0,24.58,23.7,24.5,0.65,2.73%,13161770
DCL,0804,"ALLSHR,KMIALLSHR",10.34,10.42,11.19,10.4,11.03,0.69,6.67%,12934832
WAVESAPPR,0803,ALLSHR,0.53,0.59,0.59,0.39,0.41,-0.12,-22.64%,12333862
MDTL,0828,ALLSHR,6.66,7.15,7.66,7.08,7.66,1.0,15.02%,12195545
KOSM,0830,ALLSHR,5.56,5.63,5.9,5.47,5.59,0.03,0.54%,9945082
PASLNC,0813,ALLSHR,2.39,2.47,2.8,2.45,2.59,0.2,8.37%,9689555
CSIL,0812,ALLSHR,5.74,5.84,6.05,5.73,5.77,0.03,0.52%,9649413
KEL,0824,"ALLSHR,KMIALLSHR,KSE100,KSE100PR,MII30",7.12,7.05,7.3,7.05,7.15,0.03,0.42%,9436565
PIAHCLA,0813,ALLSHR,24.79,25.08,26.3,24.69,25.3,0.51,2.06%,8227291
HASCOLNC,0821,ALLSHR,21.16,21.25,21.5,20.73,20.79,-0.37,-1.75%,8184872
LSEFSL,0813,ALLSHR,3.66,3.89,4.28,3.72,3.84,0.18,4.92%,7156106
ASL,0808,"ACI,ALLSHR,KMIALLSHR",16.59,16.96,16.96,16.01,16.09,-0.5,-3.01%,6975584
MLCF,0804,"ACI,ALLSHR,JSMFI,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30,MZNPI",101.46,101.01,102.25,98.76,98.78,-2.68,-2.64%,6847964
PIBTL,0833,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",16.5,16.5,16.65,16.1,16.18,-0.32,-1.94%,5663752
SGPLR,0824,ALLSHR,10.64,10.97,10.97,9.65,9.79,-0.85,-7.99%,5271535
OBOY,0821,ALLSHR,17.68,17.9,18.97,17.9,18.14,0.46,2.60%,5179619
