Symbol,Sector,ListedIn,LDCP,Open,High,Low,Current,Change,ChangePct,Volume
CNERGY,0825,"ALLSHR,JSMFI,KMIALLSHR,KSE100,KSE100PR",15.46,15.45,15.55,14.85,15.0,-0.46,-2.97%,191729197
PRL,0825,"ALLSHR,JSMFI,KMI30,KMIALLSHR",104.42,106.3,108.8,100.11,104.88,0.46,0.44%,58149210
WTL,0828,ALLSHR,1.16,1.17,1.18,1.15,1.16,0.0,0.00%,40783012
PIBTL,0833,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",16.23,16.24,17.0,16.19,16.49,0.26,1.60%,39683189
UNITY,0810,"ALLSHR,KMIALLSHR",9.98,9.81,9.9,9.04,9.12,-0.86,-8.62%,26621786
TPL,0828,ALLSHR,23.42,23.65,24.55,23.18,23.79,0.37,1.58%,24374265
BOP,0807,"ALLSHR,BKTI,JSGBKTI,KSE100,KSE100PR,KSE30,PSXDIV20",34.99,35.19,35.19,34.34,34.43,-0.56,-1.60%,22463823
TSBL,0813,ALLSHR,2.3,2.33,2.5,2.31,2.41,0.11,4.78%,22078693
WAVESAPPR,0803,ALLSHR,0.76,0.8,0.92,0.65,0.67,-0.09,-11.84%,21718316
LOTCHEM,0805,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",27.46,28.0,28.48,27.38,27.51,0.05,0.18%,21084102
FNEL,0813,ALLSHR,1.18,1.18,1.21,1.17,1.19,0.01,0.85%,15117069
TPLP,0838,ALLSHR,14.41,14.2,15.0,14.2,14.59,0.18,1.25%,11113224
SSGC,0821,"ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30",27.66,27.7,28.55,27.52,27.94,0.28,1.01%,10344586
HASCOLNC,0821,ALLSHR,20.11,20.28,20.77,20.05,20.44,0.33,1.64%,9663401
ASCNC,0810,"ALLSHR,KMIALLSHR",10.77,9.69,10.19,9.69,9.69,-1.08,-10.03%,9333629
KEL,0824,"ALLSHR,KMIALLSHR,KSE100,KSE100PR,MII30",7.24,7.24,7.29,7.18,7.25,0.01,0.14%,9290138
PAEL,0803,"ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30",39.36,39.39,39.47,38.6,38.75,-0.61,-1.55%,8454024
TPLRF1,0836,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",9.7,9.8,9.94,9.65,9.82,0.12,1.24%,8037104
ZUMA,0828,ALLSHR,19.03,19.23,20.93,18.8,20.65,1.62,8.51%,7409756
NRL,0825,"ALLSHR,JSMFI,KMI30,KMIALLSHR,KSE30",549.83,556.51,580.98,535.06,560.67,10.84,1.97%,7109841
TISL,0818,"ALLSHR,KMIALLSHR",3.24,3.21,3.31,3.15,3.16,-0.08,-2.47%,6650984
OGDC,0820,"ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30,MZNPI,NBPPGI,NITPGI,OGTI",328.7,330.0,334.98,329.51,331.69,2.99,0.91%,6607093
WAVES,0803,"ALLSHR,KMIALLSHR",10.19,10.24,10.32,9.93,10.0,-0.19,-1.86%,5833976
AKBL,0807,"ALLSHR,KSE100,KSE100PR",106.34,105.53,106.34,101.42,104.21,-2.13,-2.00%,5089991
BAFL,0807,"ALLSHR,BKTI,JSGBKTI,KSE100,KSE100PR,PSXDIV20",58.68,58.47,58.47,56.5,57.38,-1.3,-2.21%,5056834
THCCL,0804,"ALLSHR,KMIALLSHR",75.93,76.25,77.98,75.99,76.47,0.54,0.71%,4746329
FCCL,0804,"ACI,ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30",55.31,55.5,55.9,54.1,54.27,-1.04,-1.88%,4737174
TPLT,0828,ALLSHR,31.01,31.01,33.75,31.0,32.44,1.43,4.61%,4388638
FCEPL,0810,"ALLSHR,KMIALLSHR",147.76,150.0,158.5,148.75,156.44,8.68,5.87%,4309839
PPL,0820,"ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30,MZNPI,NBPPGI,NITPGI,OGTI",234.5,236.0,237.0,231.9,232.24,-2.26,-0.96%,4190546
GCIL,0805,"ALLSHR,KMIALLSHR",34.29,34.2,35.21,33.83,34.75,0.46,1.34%,4032392
NBP,0807,"ALLSHR,BKTI,JSGBKTI,KSE100,KSE100PR,KSE30,NBPPGI,PSXDIV20",187.08,187.2,189.49,184.91,185.58,-1.5,-0.80%,3656956
FATIMA,0809,"ALLSHR,KMIALLSHR,KSE100,KSE100PR,MII30",155.01,156.98,157.4,154.0,155.14,0.13,0.08%,3518930
BECO,0808,"ALLSHR,KMIALLSHR",4.67,4.67,4.74,4.6,4.64,-0.03,-0.64%,3464188
MLCF,0804,"ACI,ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30,MZNPI",99.58,99.55,100.39,98.81,99.27,-0.31,-0.31%,3377583
PSO,0821,"ACI,ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30,MZNPI",363.84,365.25,370.9,364.0,364.92,1.08,0.30%,3337078
EPCL,0805,"ALLSHR,KMIALLSHR",35.6,36.5,37.0,35.41,35.64,0.04,0.11%,3332693
PREMA,0810,"ALLSHR,KMIALLSHR",35.69,35.12,35.8,34.35,34.57,-1.12,-3.14%,3152219
TELE,0828,"ALLSHR,KMIALLSHR",7.97,8.02,8.08,7.6,7.72,-0.25,-3.14%,3130411
WAVESAPP,0803,ALLSHR,8.94,8.95,9.2,8.8,9.07,0.13,1.45%,3051693
HUMNL,0828,"ALLSHR,KSE100,KSE100PR",10.47,10.48,10.5,9.97,10.14,-0.33,-3.15%,3022491
KOSM,0830,ALLSHR,5.37,5.38,5.44,5.15,5.25,-0.12,-2.23%,2904725
